state,date,u_rate
Johor,1982-01-01,3.5
Johor,1983-01-01,4.2
Johor,1984-01-01,4.5
Johor,1985-01-01,5.3
Johor,1986-01-01,6.8
Johor,1987-01-01,6.3
Johor,1988-01-01,5.4
Johor,1989-01-01,4.6
Johor,1990-01-01,3.7
Johor,1992-01-01,2.2
Johor,1993-01-01,2.9
Johor,1995-01-01,2.6
Johor,1996-01-01,2.1
Johor,1997-01-01,1.7
Johor,1998-01-01,1.7
Johor,1999-01-01,3.0
Johor,2000-01-01,2.2
Johor,2001-01-01,3.4
Johor,2002-01-01,2.9
Johor,2003-01-01,3.5
Johor,2004-01-01,3.6
Johor,2005-01-01,3.3
Johor,2006-01-01,2.1
Johor,2007-01-01,2.0
Johor,2008-01-01,2.2
Johor,2009-01-01,3.2
Johor,2010-01-01,2.4
Johor,2011-01-01,2.5
Johor,2012-01-01,3.1
Johor,2013-01-01,2.8
Johor,2014-01-01,2.6
Johor,2015-01-01,3.1
Johor,2016-01-01,3.6
Johor,2017-01-01,3.4
Johor,2018-01-01,3.0
Johor,2019-01-01,2.7
Johor,2020-01-01,3.5
Johor,2021-01-01,3.8
Johor,2022-01-01,3.3
Kedah,1982-01-01,3.7
Kedah,1983-01-01,3.8
Kedah,1984-01-01,5.6
Kedah,1985-01-01,7.1
Kedah,1986-01-01,8.1
Kedah,1987-01-01,8.0
Kedah,1988-01-01,7.4
Kedah,1989-01-01,5.7
Kedah,1990-01-01,4.4
Kedah,1992-01-01,3.7
Kedah,1993-01-01,3.6
Kedah,1995-01-01,2.0
Kedah,1996-01-01,2.5
Kedah,1997-01-01,2.5
Kedah,1998-01-01,3.4
Kedah,1999-01-01,3.2
Kedah,2000-01-01,2.9
Kedah,2001-01-01,3.6
Kedah,2002-01-01,3.2
Kedah,2003-01-01,3.3
Kedah,2004-01-01,3.8
Kedah,2005-01-01,3.7
Kedah,2006-01-01,3.8
Kedah,2007-01-01,3.3
Kedah,2008-01-01,3.8
Kedah,2009-01-01,4.2
Kedah,2010-01-01,2.8
Kedah,2011-01-01,3.5
Kedah,2012-01-01,2.9
Kedah,2013-01-01,2.4
Kedah,2014-01-01,2.7
Kedah,2015-01-01,2.6
Kedah,2016-01-01,2.9
Kedah,2017-01-01,2.8
Kedah,2018-01-01,2.9
Kedah,2019-01-01,2.8
Kedah,2020-01-01,4.2
Kedah,2021-01-01,3.9
Kedah,2022-01-01,3.3
Kelantan,1982-01-01,4.8
Kelantan,1983-01-01,6.2
Kelantan,1984-01-01,5.5
Kelantan,1985-01-01,6.0
Kelantan,1986-01-01,6.8
Kelantan,1987-01-01,6.5
Kelantan,1988-01-01,7.7
Kelantan,1989-01-01,6.3
Kelantan,1990-01-01,3.4
Kelantan,1992-01-01,5.3
Kelantan,1993-01-01,4.7
Kelantan,1995-01-01,3.5
Kelantan,1996-01-01,3.3
Kelantan,1997-01-01,3.6
Kelantan,1998-01-01,4.1
Kelantan,1999-01-01,3.2
Kelantan,2000-01-01,2.6
Kelantan,2001-01-01,3.1
Kelantan,2002-01-01,3.9
Kelantan,2003-01-01,3.2
Kelantan,2004-01-01,4.1
Kelantan,2005-01-01,3.4
Kelantan,2006-01-01,2.4
Kelantan,2007-01-01,2.7
Kelantan,2008-01-01,2.9
Kelantan,2009-01-01,2.4
Kelantan,2010-01-01,2.4
Kelantan,2011-01-01,2.0
Kelantan,2012-01-01,2.3
Kelantan,2013-01-01,2.8
Kelantan,2014-01-01,3.3
Kelantan,2015-01-01,3.6
Kelantan,2016-01-01,3.8
Kelantan,2017-01-01,3.6
Kelantan,2018-01-01,4.0
Kelantan,2019-01-01,4.0
Kelantan,2020-01-01,4.3
Kelantan,2021-01-01,4.2
Kelantan,2022-01-01,3.7
Melaka,1982-01-01,4.0
Melaka,1983-01-01,2.8
Melaka,1984-01-01,5.4
